iter	Passed	Remaining
1041	15478	42440
1042	15493	42425
1043	15509	42413
1044	15525	42402
1045	15548	42409
1046	15566	42402
1047	15582	42391
1048	15600	42384
1049	15616	42373
1050	15636	42373
1051	15651	42357
1052	15665	42340
1053	15682	42330
1054	15696	42312
1055	15718	42316
1056	15737	42313
1057	15754	42305
1058	15771	42294
1059	15786	42281
1060	15804	42275
1061	15819	42259
1062	15834	42245
1063	15848	42228
1064	15863	42214
1065	15883	42211
1066	15900	42203
1067	15914	42185
1068	15926	42163
1069	15941	42147
1070	15960	42142
1071	15975	42128
1072	15989	42112
1073	16004	42098
1074	16019	42083
1075	16037	42077
1076	16052	42061
1077	16066	42043
1078	16080	42026
1079	16092	42004
1080	16110	41998
1081	16124	41980
1082	16137	41961
1083	16152	41944
1084	16166	41927
1085	16183	41919
1086	16196	41898
1087	16209	41879
1088	16224	41863
1089	16237	41844
1090	16254	41836
1091	16267	41815
1092	16281	41798
1093	16295	41781
1094	16309	41765
1095	16329	41762
1096	16342	41743
1097	16356	41724
1098	16370	41708
1099	16385	41694
1100	16405	41692
1101	16420	41675
1102	16434	41659
1103	16447	41640
1104	16461	41622
1105	16478	41614
1106	16492	41595
1107	16505	41576
1108	16518	41556
1109	16531	41537
1110	16549	41529
1111	16562	41511
1112	16576	41493
1113	16590	41477
1114	16604	41460
1115	16622	41451
1116	16635	41431
1117	16648	41412
1118	16662	41394
1119	16678	41382
1120	16696	41375
1121	16710	41358
1122	16723	41339
1123	16738	41325
1124	16751	41305
1125	16769	41298
1126	16783	41282
1127	16797	41263
1128	16809	41242
1129	16823	41224
1130	16840	41214
1131	16854	41197
1132	16868	41181
1133	16881	41162
1134	16897	41148
1135	16915	41142
1136	16929	41124
1137	16943	41106
1138	16956	41087
1139	16969	41069
1140	16986	41059
1141	16999	41040
1142	17013	41023
1143	17027	41005
1144	17040	40986
1145	17058	40980
1146	17072	40961
1147	17085	40943
1148	17099	40926
1149	17112	40906
1150	17129	40897
1151	17143	40880
1152	17158	40865
1153	17172	40848
1154	17186	40830
1155	17204	40823
1156	17218	40805
1157	17234	40794
1158	17251	40784
1159	17266	40770
1160	17287	40770
1161	17305	40761
1162	17322	40752
1163	17336	40735
1164	17351	40719
1165	17368	40711
1166	17382	40692
1167	17396	40675
1168	17410	40658
1169	17423	40640
1170	17441	40631
1171	17454	40612
1172	17467	40594
1173	17480	40574
1174	17494	40558
1175	17514	40553
1176	17527	40535
1177	17540	40516
1178	17554	40499
1179	17569	40483
1180	17587	40476
1181	17601	40459
1182	17616	40444
1183	17630	40428
1184	17643	40409
1185	17661	40400
1186	17676	40385
1187	17690	40369
1188	17704	40351
1189	17718	40335
1190	17736	40327
1191	17750	40309
1192	17763	40290
1193	17776	40273
1194	17790	40256
1195	17809	40249
1196	17824	40234
1197	17838	40218
1198	17850	40198
1199	17864	40181
1200	17882	40173
1201	17897	40157
1202	17910	40138
1203	17923	40119
1204	17937	40102
1205	17955	40095
1206	17969	40078
1207	17984	40062
1208	17998	40046
1209	18014	40034
1210	18033	40027
1211	18048	40013
1212	18062	39996
1213	18075	39978
1214	18088	39959
1215	18107	39952
1216	18121	39935
1217	18136	39921
1218	18149	39902
1219	18164	39886
1220	18182	39879
1221	18196	39862
1222	18209	39843
1223	18223	39825
1224	18237	39808
1225	18253	39798
1226	18268	39782
1227	18284	39769
1228	18297	39751
1229	18311	39734
1230	18329	39725
1231	18344	39710
1232	18358	39695
1233	18375	39684
1234	18390	39669
1235	18407	39660
1236	18422	39644
1237	18437	39630
1238	18452	39615
1239	18466	39599
1240	18484	39591
1241	18504	39586
1242	18520	39574
1243	18534	39557
1244	18548	39540
1245	18566	39531
1246	18583	39522
1247	18598	39506
1248	18612	39489
1249	18626	39472
1250	18645	39466
1251	18658	39448
1252	18672	39430
1253	18685	39411
1254	18698	39394
1255	18717	39387
1256	18732	39372
1257	18747	39357
1258	18761	39340
1259	18775	39323
1260	18792	39314
1261	18806	39297
1262	18819	39278
1263	18832	39259
1264	18845	39240
1265	18863	39232
1266	18880	39220
1267	18898	39213
1268	18916	39203
1269	18934	39195
1270	18954	39191
1271	18969	39177
1272	18985	39163
1273	18998	39145
1274	19015	39133
1275	19034	39127
1276	19048	39112
1277	19062	39094
1278	19076	39077
1279	19094	39068
1280	19110	39057
1281	19124	39039
1282	19138	39022
1283	19151	39003
1284	19164	38985
1285	19182	38977
1286	19196	38959
1287	19210	38943
1288	19223	38925
1289	19237	38907
1290	19254	38897
1291	19268	38879
1292	19282	38863
1293	19296	38846
1294	19309	38827
1295	19326	38816
1296	19339	38798
1297	19354	38784
1298	19369	38768
1299	19383	38751
1300	19401	38743
1301	19415	38727
1302	19429	38710
1303	19442	38691
1304	19456	38674
1305	19475	38666
1306	19489	38650
1307	19501	38631
1308	19515	38613
1309	19529	38597
1310	19547	38588
1311	19561	38571
1312	19574	38552
1313	19588	38535
1314	19605	38525
1315	19622	38514
1316	19636	38497
1317	19650	38481
1318	19665	38466
1319	19680	38451
1320	19699	38444
1321	19714	38429
1322	19729	38415
1323	19747	38406
1324	19764	38395
1325	19787	38395
1326	19806	38388
1327	19825	38381
1328	19841	38369
1329	19857	38356
1330	19877	38351
1331	19891	38334
1332	19905	38317
1333	19919	38300
1334	19933	38284
1335	19951	38276
1336	19966	38261
1337	19981	38246
1338	19995	38228
1339	20008	38210
1340	20026	38200
1341	20039	38183
1342	20054	38167
1343	20068	38150
1344	20081	38132
1345	20098	38121
1346	20111	38102
1347	20125	38085
1348	20139	38069
1349	20152	38051
1350	20170	38041
1351	20183	38023
1352	20198	38008
1353	20212	37991
1354	20226	37974
1355	20242	37963
1356	20256	37945
1357	20270	37929
1358	20284	37912
1359	20299	37897
1360	20317	37889
1361	20332	37873
1362	20345	37855
1363	20360	37839
1364	20373	37821
1365	20392	37814
1366	20406	37797
1367	20419	37778
1368	20433	37761
1369	20445	37741
1370	20461	37729
1371	20474	37711
1372	20487	37692
1373	20499	37672
1374	20512	37653
1375	20529	37642
1376	20542	37623
1377	20554	37603
1378	20567	37585
1379	20579	37565
1380	20598	37556
1381	20610	37538
1382	20624	37521
1383	20637	37501
1384	20649	37483
1385	20668	37474
1386	20681	37456
1387	20694	37438
1388	20707	37419
1389	20720	37401
1390	20737	37390
1391	20750	37372
1392	20764	37354
1393	20776	37335
1394	20790	37318
1395	20806	37306
1396	20819	37287
1397	20832	37269
1398	20845	37251
1399	20858	37233
1400	20879	37227
1401	20893	37211
1402	20907	37195
1403	20919	37175
1404	20931	37155
1405	20948	37143
1406	20960	37124
1407	20973	37105
1408	20986	37087
1409	20998	37067
1410	21014	37054
1411	21028	37037
1412	21042	37021
1413	21054	37002
1414	21067	36982
1415	21083	36970
1416	21095	36951
1417	21108	36932
1418	21121	36914
1419	21134	36896
1420	21151	36885
1421	21165	36868
1422	21178	36850
1423	21192	36834
1424	21207	36819
1425	21228	36814
1426	21245	36803
1427	21261	36791
1428	21279	36780
1429	21293	36764
1430	21310	36753
1431	21324	36736
1432	21338	36720
1433	21352	36704
1434	21365	36685
1435	21382	36675
1436	21395	36656
1437	21408	36638
1438	21421	36621
1439	21436	36605
1440	21452	36593
1441	21465	36574
1442	21479	36559
1443	21496	36547
1444	21510	36529
1445	21527	36519
1446	21541	36502
1447	21554	36484
1448	21567	36465
1449	21579	36447
1450	21601	36444
1451	21619	36434
1452	21637	36425
1453	21655	36414
1454	21668	36397
1455	21686	36387
1456	21700	36371
1457	21714	36354
1458	21728	36338
1459	21741	36320
1460	21760	36311
1461	21773	36294
1462	21786	36275
1463	21798	36256
1464	21810	36237
1465	21828	36226
1466	21841	36209
1467	21854	36191
1468	21868	36174
1469	21881	36156
1470	21898	36145
1471	21911	36127
1472	21924	36108
1473	21936	36088
1474	21949	36071
1475	21966	36060
1476	21979	36042
1477	21992	36024
1478	22005	36006
1479	22017	35987
1480	22035	35976
1481	22048	35958
1482	22061	35941
1483	22073	35921
1484	22085	35901
1485	22101	35889
1486	22113	35869
1487	22126	35850
1488	22139	35833
1489	22153	35817
1490	22171	35807
1491	22184	35789
1492	22198	35773
1493	22212	35756
1494	22224	35738
1495	22243	35729
1496	22258	35715
1497	22271	35697
1498	22288	35685
1499	22304	35671
1500	22322	35661
1501	22335	35645
1502	22348	35627
1503	22362	35609
1504	22375	35591
1505	22392	35580
1506	22405	35563
1507	22418	35546
1508	22431	35528
1509	22444	35510
1510	22460	35496
1511	22472	35476
1512	22484	35457
1513	22495	35437
1514	22509	35420
1515	22525	35407
1516	22538	35389
1517	22550	35370
1518	22562	35351
1519	22576	35335
1520	22594	35324
1521	22606	35305
1522	22619	35288
1523	22631	35269
1524	22644	35250
1525	22661	35239
1526	22674	35221
1527	22686	35202
