iter	R2	RMSE
3425	0.5289989544	1.656573687
3430	0.5292371326	1.656156634
3435	0.5294742878	1.655737659
3440	0.5296719976	1.655392304
3445	0.5298702715	1.655041977
3450	0.5300740431	1.654682563
3455	0.5302689629	1.654339123
3460	0.5304756479	1.653975523
3465	0.5306691889	1.653636049
3470	0.5308454024	1.653323881
3475	0.5310799593	1.652910835
3480	0.5312637216	1.652587052
3485	0.5314423596	1.652272469
3490	0.5316326704	1.651936604
3495	0.5318094164	1.651625302
3500	0.5320039402	1.651283444
3505	0.5321834789	1.65096576
3510	0.5323318716	1.650703882
3515	0.532514913	1.650380934
3520	0.5326958827	1.650061174
3525	0.5328675198	1.649757923
3530	0.5330984177	1.649349853
3535	0.5333007454	1.64899253
3540	0.5335476421	1.648555945
3545	0.5337326973	1.648229243
3550	0.5339319084	1.647877234
3555	0.5341372093	1.647513638
3560	0.5343322708	1.647169815
3565	0.5345199322	1.64683696
3570	0.5347536729	1.646423479
3575	0.5349676044	1.646044701
3580	0.5351575075	1.645708678
3585	0.535326215	1.645411064
3590	0.5355460084	1.645020603
3595	0.5357562759	1.644649216
3600	0.5359731062	1.644265734
3605	0.5361696488	1.643916218
3610	0.5363272762	1.643636425
3615	0.536501045	1.643329839
3620	0.5367251154	1.642931399
3625	0.5369413366	1.642547515
3630	0.5371564901	1.64216625
3635	0.5373477606	1.641827681
3640	0.5375902764	1.641396601
3645	0.5377739382	1.641071104
3650	0.5379830862	1.640700179
3655	0.5381520847	1.640400461
3660	0.5383846788	1.639986553
3665	0.5385578326	1.639678248
3670	0.5387177989	1.63939446
3675	0.5389114585	1.639049971
3680	0.5390794642	1.638751706
3685	0.5392791309	1.638397182
3690	0.5394915656	1.638018305
3695	0.5396745241	1.637694453
3700	0.539846139	1.637387873
3705	0.5400156242	1.63708571
3710	0.5401959699	1.636766229
3715	0.540421294	1.636365152
3720	0.5406220537	1.636007792
3725	0.540821355	1.635652753
3730	0.5410370639	1.635268041
3735	0.5412292237	1.634924042
3740	0.5414023822	1.634617983
3745	0.5415852951	1.634290096
3750	0.5417879142	1.6339294
3755	0.541980404	1.6335856
3760	0.542178169	1.633233479
3765	0.5423609519	1.632908358
3770	0.5425069537	1.632647429
3775	0.5426739311	1.632348796
3780	0.5428698888	1.632000014
3785	0.5430805898	1.631622698
3790	0.5432474619	1.631325241
3795	0.5433960199	1.63106045
3800	0.5435913537	1.630711393
3805	0.5437556123	1.630416818
3810	0.5439156295	1.630132381
3815	0.5440939829	1.62981266
3820	0.5442846337	1.629472648
3825	0.5444432673	1.629188206
3830	0.5446373845	1.628841077
3835	0.5448542702	1.628453309
3840	0.5450540472	1.628096784
3845	0.5452434463	1.627756011
3850	0.5454279005	1.627428028
3855	0.5455709889	1.62717032
3860	0.5457571123	1.626837796
3865	0.545976719	1.62644376
3870	0.5461472262	1.626138759
3875	0.5463495603	1.625775933
3880	0.5465360267	1.625441836
3885	0.5466840535	1.625177616
3890	0.5468864617	1.624813448
3895	0.5470704566	1.624483743
3898	0.5472113043	1.624231287
